Location Longitude Latitude Demand Location Longitude Latitude Demand
Depot 107.0242788 10.6072385 51 107.1637245 10.4986051 80
1 107.0837984 10.3451602 100 52 107.2048204 10.5213112 90
2 107.0904903 10.3609904 50 53 107.208381 10.5709611 100
3 107.0890006 10.3733413 80 54 107.2293859 10.5880569 100
4 107.0924625 10.3627624 90 55 107.2113585 10.592591 50
5 107.1021562 10.3754122 100 56 107.3080995 10.5853336 50
6 107.1031228 10.3761541 110 57 107.2205906 10.5753757 60
7 107.0913193 10.3617377 200 58 107.2034027 10.602037 60
8 107.1076677 10.378978 100 59 107.209525 10.5912688 80
9 107.089926 10.3598197 80 60 107.3120569 10.5829239 90
10 107.08311 10.3560193 90 61 107.2252112 10.643967 100
11 107.0396139 10.653406 100 62 107.2081765 10.5919773 70
12 107.1970048 10.5000715 80 63 107.1008667 10.3740802 80
13 107.0454262 10.6574723 60 64 107.1143352 10.3836713 100
14 107.1524361 10.5049466 70 65 107.126075 10.3901564 120
15 107.2710915 10.4903057 90 66 107.0871781 10.3561336 120
16 107.2205906 10.5753757 100 67 107.1539828 10.4214295 130
17 107.1691781 10.4940003 100 68 107.1466794 10.4103401 140
18 107.1679409 10.5209525 120 69 107.1240686 10.3892222 150
19 107.1710108 10.4992729 130 70 107.103371 10.3801157 180
20 107.1889633 10.4901892 100 71 107.139878 10.4089466 190
21 107.2095274 10.4082787 200 72 107.1673059 10.4170584 140
22 107.073832 10.4696444 180 73 107.1363939 10.3979967 150
23 107.2195898 10.4112071 90 74 107.1454289 10.3966029 120
24 107.2340333 10.3946979 100 75 107.0544285 10.6015609 110
25 107.2897264 10.4379579 120 76 107.0539763 10.5825626 90
26 107.2289028 10.4257346 150 77 107.0561958 10.5734413 130
27 107.0933073 10.6067698 150 78 107.0732812 10.539833 140
28 107.2376394 10.3975834 160 79 107.0860874 10.5172811 160
29 107.1976773 10.4857485 180 80 107.1693349 10.4757113 180
30 107.2230215 10.4159073 170 81 107.1512173 10.5008324 200
31 107.2765195 10.4990328 90 82 107.0760384 10.5339968 150
32 107.2425555 10.5379508 100 83 107.0908985 10.5210308 170
33 107.2710915 10.4903057 120 84 107.0707401 10.5889924 190
34 107.2712451 10.4902598 130 85 107.0561477 10.588926 210
35 107.2626432 10.4878332 70 86 107.0673998 10.5877707 200
36 107.2831723 10.4962767 50 87 107.0680263 10.5967365 160
37 107.2708947 10.4899472 80 88 107.055012 10.5971994 140
38 107.2653139 10.4880226 100 89 107.1889805 10.5097044 130
39 107.2617453 10.4889771 120 90 107.1968505 10.5280828 150
40 107.2665416 10.5410849 130 91 107.2454316 10.6987053 200
41 107.2301894 10.4684375 160 92 107.2478515 10.6777852 100
42 107.2315898 10.5288541 190 93 107.2483769 10.6726445 100
43 107.2901925 10.4988428 200 94 107.244858 10.6413062 100
44 107.1709489 10.495647 210 95 107.2632892 10.6497864 50
45 107.2312619 10.5284822 180 96 107.245854 10.6479095 80
46 107.2454199 10.4616401 170 97 107.3160785 10.64359 90
47 107.2897264 10.4379579 160 98 107.2426032 10.6354967 100
48 107.1789434 10.4968487 150 99 107.2451825 10.644182 110
49 107.1827772 10.4921791 120 100 107.2483382 10.6607925 200
50 107.1933209 10.4858346
101 107.232978 10.64943 100 151 107.2945458 10.4267901 160
102 107.2403911 10.7038262 80 152 107.2930629 10.4295222 180
103 107.2419072 10.711214 90 153 107.3290068 10.4558186 170
104 107.2394116 10.7241377 100 154 107.285747 10.4441869 100
105 107.1546267 10.5797859 80 155 107.3116764 10.4894856 120
106 107.147047 10.5884566 60 156 107.2971875 10.5008125 120
107 107.1330498 10.590313 70 157 107.2144027 10.5402928 130
108 107.1250047 10.3780398 90 158 107.3832565 10.5583102 140
109 107.1911687 10.4079234 100 159 107.4316703 10.558723 150
110 107.1210467 10.4011201 100 160 107.3917763 10.5480988 180
